,text,hour,day,month,dayofweek,hashtags,hashtag_counts,user_counts,url_counts
0,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
1,: They came to Canada because of the welcoming people/culture.  and 4 are horrified by what they…,23,14,9,0,[],0,3,0
2,This is what I get for drafting my Fantasy Football team during Game 6 of Raptors-Celtics.,23,14,9,0,[],0,0,0
3,Until next season ❤️🙏🏼 ,23,14,9,0,[],0,0,1
4,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
5, miss u fam.,23,14,9,0,[],0,1,0
6,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
7,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
8, @_emmajbrown Unpopular opinion...OG to hit his ceiling would require a new coach - never been a NN… ,23,14,9,0,[],0,2,1
9,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
10,  _shantz   Not much of a draft guy but I would love to have a guy named Theo be on the Raptors.,23,14,9,0,[],0,5,0
11,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
12,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
13,"1050: Friday's Game 7 between the Raptors-Celtics on _Sports drew an average audience of 2.7 million viewers. For reference, la…",23,14,9,0,[],0,2,0
14,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
15,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
16,": Game 7 of Celtics-Raptors drew 4.69 million viewers on TNT, second largest audience of 2020 NBA Restart behind Game 2 o…",23,14,9,0,[],0,1,0
17,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
18,: We felt the love. WeTheNorth ,23,14,9,0,['#WeTheNorth'],1,1,1
19,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
20,": “I already miss this team”

A look back at a memorable season

 📰 » ",23,14,9,0,[],0,2,2
21,: End of season thoughts from 43 ,23,14,9,0,[],0,2,1
22,_NBA People don't watch raptors games evidence  242534,23,14,9,0,['#'],1,1,0
