,text,hour,day,month,dayofweek,hashtags,hashtag_counts,user_counts,url_counts
0,Century 21 reveals the reason why it survived 9/11 but not the coronavirus pandemic ,23,10,9,3,[],0,0,2
1,: President Biden couldn't handle the riots and President Woodward couldn't handle the coronavirus pandemic KICK THEM BOTH…,23,10,9,3,[],0,1,0
2,"BullshitBarbie requesting a fact check. That’s precious. 

Kayleigh McEnany requests fact check after Obama corona… ",23,10,9,3,['#BullshitBarbie'],1,0,1
3,"Interesting debate.

Please note that Dr. Fauci's statement (at 2m 24s) was based on mistakenly comparing the influ… ",23,10,9,3,[],0,0,1
4,"This headline makes it sound like children in Canada have milder symptoms than children in other countries.
It’s no… ",23,10,9,3,[],0,0,1
5,:   This is what a second lockdown has done to the economy of the Australian state of Victoria…,23,10,9,3,[],0,3,0
6,":  Post COVID 19 they are a must, all the private ones are closed. ",23,10,9,3,[],0,2,1
7,How the Coronavirus Attacks the Brain ,23,10,9,3,[],0,0,1
8,": The confirmed global coronavirus death toll is now topping 900,000.  with the alarming projection on when fatalities c…",23,10,9,3,[],0,2,0
9,"_AvisFavaro: About half of the COVID-19 survivors from Bergamo, one of Italy's coronavirus epicenters, haven't recovered six months…",23,10,9,3,[],0,1,0
10,"_AvisFavaro: About half of the COVID-19 survivors from Bergamo, one of Italy's coronavirus epicenters, haven't recovered six months…",23,10,9,3,[],0,1,0
11,"_AvisFavaro: About half of the COVID-19 survivors from Bergamo, one of Italy's coronavirus epicenters, haven't recovered six months…",23,10,9,3,[],0,1,0
12,_tweets: Rational Ground – Clear Reasoning on National Policy for COVID-19 » Mistake or manipulation? Coronavirus covid19 htt…,23,10,9,3,"['#Coronavirus', '#covid19']",2,1,0
13," White House predicts 100,000 to 240,000 will die in US from coronavirus. 

Trump did not downplay it..… ",23,10,9,3,[],0,1,1
14,"_AvisFavaro: About half of the COVID-19 survivors from Bergamo, one of Italy's coronavirus epicenters, haven't recovered six months…",23,10,9,3,[],0,1,0
15,"_AvisFavaro: About half of the COVID-19 survivors from Bergamo, one of Italy's coronavirus epicenters, haven't recovered six months…",23,10,9,3,[],0,1,0
16,  His coronavirus tweets would have been legendary.,23,10,9,3,[],0,2,0
17,"_AvisFavaro: About half of the COVID-19 survivors from Bergamo, one of Italy's coronavirus epicenters, haven't recovered six months…",23,10,9,3,[],0,1,0
18,"_AvisFavaro: About half of the COVID-19 survivors from Bergamo, one of Italy's coronavirus epicenters, haven't recovered six months…",23,10,9,3,[],0,1,0
19,": “Make no mistake, suppliers are reserving manufacturing capacity to supply doses to Canada based on those aggressively n…",23,10,9,3,[],0,1,0
20,:  “Up to 90% of people testing COVID-19 positive carried barely any virus” b/c PCR tests too sensitive &amp; “detect..…,23,10,9,3,[],0,2,0
21,": The confirmed global coronavirus death toll is now topping 900,000.  with the alarming projection on when fatalities c…",23,10,9,3,[],0,2,0
