,text,hour,day,month,dayofweek,hashtags,hashtag_counts,user_counts,url_counts
0,"Recent G7 experience: 
🏀Celtics beat Bucks in R1 &amp; lost ECF to Cavs in 2017-18 Tatum, Brown, Smart &amp; Theis on that… ",23,10,9,3,[],0,0,1
1, 504  That’s fine. Although it’s unjust to blantantly name everyone that’s not musl… ,23,10,9,3,[],0,3,1
2,": This guy's Nonna just blessed Siakam.
Watch out Game 7 breakout 💪📿🙏➕
Raptors
WeTheNorth
NBAPlayoffs
WholeNewGame ",23,10,9,3,"['#Raptors', '#WeTheNorth', '#NBAPlayoffs', '#WholeNewGame']",4,1,0
3,: Raptors can never just slap a team start to finish...always drama dis heart attack dat,23,10,9,3,[],0,1,0
4,_bungay: Let's spread the word to wear Raptors red and black 🏀,23,10,9,3,[],0,1,0
5, That’s facts people always want to reach on situations they have no part in. The players should see w… ,23,10,9,3,[],0,1,1
6,: Raptors can never just slap a team start to finish...always drama dis heart attack dat,23,10,9,3,[],0,1,0
7,   So I'm watching this video and I'm like... is that? No. Couldn't be. Maybe? Yes.… ,23,10,9,3,[],0,3,1
8,: A new yearly tradition of Stephen A. Smith eating crow when it comes to the Toronto Raptors. ,23,10,9,3,[],0,1,1
9,  2404  The nba needs to get their head out of their asses and fix the refs.,23,10,9,3,[],0,4,0
10,Haven’t been able to stream this week plan due to the Raptors playoffs!  Game 7 tomorrow so will plan to do a coupl… ,23,10,9,3,[],0,0,1
11, Boo who. Do a full game report and let me know how many calls were blown for both teams. I assure you the… ,23,10,9,3,[],0,1,1
12,": Even though you can’t be with them our players feel your support from all around the globe.

Let’s send them something special…",23,10,9,3,[],0,1,0
13, And how many did they miss on the Raptors?,23,10,9,3,[],0,1,0
14,This is a good idea. Jurassic Park and the connection between the Raps and their fans was a huge advantage. Let’s g… ,23,10,9,3,[],0,0,1
15,": Even though you can’t be with them our players feel your support from all around the globe.

Let’s send them something special…",23,10,9,3,[],0,1,0
16,: Raptors can never just slap a team start to finish...always drama dis heart attack dat,23,10,9,3,[],0,1,0
17,"I want the Raptors to win another ring.

...but am I the only one afraid of the problems we'll have with large gath… ",23,10,9,3,[],0,0,1
18,": Even though you can’t be with them our players feel your support from all around the globe.

Let’s send them something special…",23,10,9,3,[],0,1,0
19,": Even though you can’t be with them our players feel your support from all around the globe.

Let’s send them something special…",23,10,9,3,[],0,1,0
20,": Even though you can’t be with them our players feel your support from all around the globe.

Let’s send them something special…",23,10,9,3,[],0,1,0
21,": How can one not respect Kyle Lowry? WeTheNorth 

53 Mins | 33 Pts | 8 Reb | 6 Ast | 6 3pm ",23,10,9,3,['#WeTheNorth'],1,1,1
22,: A new yearly tradition of Stephen A. Smith eating crow when it comes to the Toronto Raptors. ,23,10,9,3,[],0,1,1
23,": Big day tomorrow so you must have some big questions for Jacko.

Tweet your Q's using AskJack |  ",23,10,9,3,['#AskJack'],1,2,1
24,Did  actually claim the Raptors have benefited from the reffs this series? He's aware they went whole h… ,23,10,9,3,[],0,1,1
25,": Even though you can’t be with them our players feel your support from all around the globe.

Let’s send them something special…",23,10,9,3,[],0,1,0
26,: Raptors can never just slap a team start to finish...always drama dis heart attack dat,23,10,9,3,[],0,1,0
27,"843    I'm just calling out that moron, it has nothing to do with i… ",23,10,9,3,[],0,4,1
28,": WHO’S HAVING A GAME 7 PARTY?! 🎈

It’s the moment both Raptors and Celtics fans have been waiting for. 

…",23,10,9,3,[],0,2,0
29,":  In Toronto these days - sent in my request last week. 

Also, the   are doing an amazing campaign r…",23,10,9,3,[],0,3,0
30,": This guy's Nonna just blessed Siakam.
Watch out Game 7 breakout 💪📿🙏➕
Raptors
WeTheNorth
NBAPlayoffs
WholeNewGame ",23,10,9,3,"['#Raptors', '#WeTheNorth', '#NBAPlayoffs', '#WholeNewGame']",4,1,0
31,: Raptors can never just slap a team start to finish...always drama dis heart attack dat,23,10,9,3,[],0,1,0
32,3   Damn you really think he's god or something. Far from it!,23,10,9,3,[],0,3,0
33,"  ""I hAvE TO hoLD HiM AcCOUntABle"" shut up fake fan",23,10,9,3,[],0,2,0
